,text,label,translation
0,@yaaangIN thankuu,isfj,@yaaangIN thankuu
1,i’ll miss my lgbt layout,isfj,echaré de menos mi diseño lgbt
2,new layout do we like it,isfj,nuevo diseño nos gusta
3,"thank you for tonight’s episode of chan’s room, bang chan who didn’t write drive!",isfj,"gracias por el episodio de esta noche de la habitación de chan, ¡bang chan que no escribió drive!"
4,"chan, honey, it’s okay just tell the truth. stays won’t be mad 😊",isfj,"chan, cariño, esta bien solo di la verdad. se queda no se enojara 😊"
5,CAUSE WE DON’T GIVE A FUCK!,isfj,¡PORQUE NOS IMPORTA UNA MIERDA!
6,@love_stayhyune wtf,isfj,@love_stayhyune wtf
7,"lee know is so fluent in english, he wrote drive. penguins can fly. dogs neigh.",isfj,lee know habla inglés con tanta fluidez que escribió drive. los pingüinos pueden volar. los perros relinchan.
8,@love_stayhyune fuck world king llc,isfj,@love_stayhyune fuck world king llc
9,this song is so good gimme the title,isfj,esta canción es tan buena dame el título
10,@skzwolf_gang fun and funny 😭 i remember this one reply about giving that bald guy haircombs as a gift 😭😭,isfj,@skzwolf_gang divertido y gracioso 😭 me acuerdo de esta respuesta sobre regalarle a ese calvo peinetas 😭😭
11,@love_stayhyune what happened,isfj,@love_stayhyune lo que pasó
12,one of my greatest edits,isfj,una de mis mejores ediciones
13,fun times,isfj,momentos divertidos
14,we bullied him.,isfj,le intimidamos.
15,remember when hyunjin’s aotm (motley crew) was privated/removed bcs of that bald guy,isfj,recuerdas cuando el aotm de hyunjin (motley crew) fue privado/removido por culpa de ese tipo calvo
16,and relatable.,isfj,y relacionable.
17,bang chan is so funny,isfj,bang chan es tan divertido
18,streetlight will never not be my favorite comfort song,isfj,streetlight will never not be my favorite comfort song
19,pick (poll below),isfj,elija (encuesta a continuación)
20,IS HE REACTING TO HYUNJIN’S PWF,isfj,¿ESTÁ REACCIONANDO AL PWF DE HYUNJIN?
21,@ChanniesSpoon THANK YOU,isfj,@ChanniesSpoon GRACIAS
22,looking for*,isfj,buscando*
23,anyways this is the layout,isfj,de todos modos este es el diseño
24,i was looking headers for my (supposed to be) new layout and i found this. IT MATCHES?? LMFAO,isfj,estaba buscando cabeceras para mi (supuestamente) nuevo diseño y encontré esto. ¿COINCIDE? LMFAO
25,@Hobasirius 💔💔💔💔💔,isfj,@Hobasirius 💔💔💔💔💔
26,hey…i wish you back 😁,isfj,hey...te deseo de vuelta 😁
27,WISH YOU BACK,isfj,DESEO QUE VUELVA
28,seo changbin is so cool,isfj,seo changbin es tan guay
29,@Hobasirius half good half bad,isfj,@Hobasirius medio bien medio mal
30,chan i think i wanna marry you,isfj,chan creo que quiero casarme contigo
31,he. is. so. handsome.,isfj,él. es. tan. guapo.
32,damn HaPpY gives so much memories,isfj,maldita sea HaPpY da tantos recuerdos
33,HAPPY,isfj,FELIZ
34,soon plz 🙏,isfj,pronto plz 🙏
35,icb it’s been a year,isfj,icb ha pasado un año
36,@sorikkun__ yes.,isfj,@sorikkun__ sí.
37,commas don’t exist,isfj,las comas no existen
38,pwede ka bang ligawan,isfj,no se preocupe
39,BANG CHAN. IS EXTRA HOT TONIGHT. ON FATHER’S DAY. WITH CURLY HAIR. AND A TANK TOP. SHOWING HIS MUSCLES. FUCK 😊,isfj,BANG CHAN ES EXTRA CALIENTE ESTA NOCHE EN EL DÍA DEL PADRE. CON EL PELO RIZADO Y UNA CAMISETA SIN MANGAS. MOSTRANDO SUS MUSCULOS. JODER 😊
40,i didn’t greet my own father this is so 💀,isfj,no saludé a mi propio padre esto es así 💀
41,happy father’s day bang chan,isfj,feliz día del padre bang chan
