,text,label,translation
0,THATS SO FUCKEJFOFNF,esfj,ESO ES TAN FUCKEJFOFNF
1,this man did not just call clementine a carpet muncher 😭😭😭,esfj,este hombre no acaba de llamar a clementina come alfombras 😭😭😭.
2,@glazeinthelight do YOU,esfj,@glazeinthelight do YOU
3,we live in a society,esfj,vivimos en una sociedad
4,@yukuzai it’s crazy i got into it when s1 came out and now i’m finishing the series 10 years later,esfj,@yukuzai es una locura me metí en ella cuando salió la s1 y ahora estoy terminando la serie 10 años después
5,sorry i’ve been gone twdg has had me in a headlock for the past 2 weeks,esfj,lo siento he estado fuera twdg me ha tenido en un bloqueo de la cabeza durante las últimas 2 semanas
6,goddamn 😭,esfj,maldita sea 😭
7,why didn’t you stop me and geyser,esfj,por qué no me detuviste y géiser
8,covid got my ass,esfj,covid tiene mi culo
9,finally starting jojos,esfj,por fin empezando jojos
10,@yukuzai my go to no matter what game,esfj,@yukuzai mi ir a no importa qué juego
11,berleezy making it funny as per usual,esfj,berleezy haciendolo gracioso como siempre
12,watching a playthrough of twdg this game was my childhood,esfj,viendo un playthrough de twdg este juego fue mi infancia
13,kunikida..,esfj,kunikida ..
14,@rainbowserve WHY DID YOY REMIND ME OF THAY,esfj,@rainbowserve POR QUÉ YOY ME RECORDÓ A THAY
15,@gaydinosticker be normal,esfj,@gaydinosticker sé normal
16,@rainbowserve good answer,esfj,@rainbowserve buena respuesta
17,should i go to canada with my mom this weekend,esfj,¿debería ir a canadá con mi madre este fin de semana?
18,oh this one was just gay what the hell sayaka,esfj,oh este era simplemente gay lo que el infierno sayaka
19,god,esfj,dios
20,@gaydinosticker happy. birthday. i miss you meow,esfj,@gaydinosticker feliz. cumpleaños. te echo de menos miau
21,@yukuzai never in my life i know i’m better than that,esfj,@yukuzai nunca en mi vida se que soy mejor que eso
22,finally got around to reading the seven husbands of evelyn hugo,esfj,por fin he podido leer los siete maridos de evelyn hugo
23,@elra4Iifer Sorry,esfj,@elra4Iifer Lo siento
24,happy world goth day,esfj,feliz día mundial del gótico
25,applying to chilis for a job..,esfj,solicitando trabajo a chilis..
26,@kingfritzhater one of my favs you should listen,esfj,@kingfritzhater uno de mis favs usted debe escuchar
27,i miss when tr was at its peak,esfj,echo de menos cuando tr estaba en su apogeo
28,give me romance book recs please,esfj,dame recs de libros romanticos por favor
29,@DocTheChaosKing she’s so adorable wtf 😭😭😭😭,esfj,@DocTheChaosKing ella es tan adorable wtf 😭😭😭😭
30,i don’t know who this is we’re married though,esfj,"No sé quién es, pero estamos casados."
31,got my hair cut and dyed and one of the first things i was told was that i look like a maki and nobara mix 💀,esfj,me he cortado y teñido el pelo y una de las primeras cosas que me han dicho es que parezco una mezcla de maki y nobara 💀
32,absolutely loveeee when cosplayers with 10x my following take heavy inspo from my vids and give no credit,esfj,Me encanta cuando cosplayers con 10 veces más seguidores que yo se inspiran en mis vídeos y no me dan crédito.
33,@chishiyacult cannot escape our past,esfj,@chishiyacult no podemos escapar de nuestro pasado
34,@honeypaimon @MinionIuvr69 honestly yeah people even told me i started it 🤔,esfj,@honeypaimon @MinionIuvr69 honestamente sí la gente incluso me dijo que yo empecé 🤔
35,@MinionIuvr69 not to sound pretentious but how was i able to revive actwt,esfj,@MinionIuvr69 no quiero sonar pretencioso pero como pude revivir actwt
36,@chishiyacult point proven 😭,esfj,@chishiyacult punto probado 😭
37,@MinionIuvr69 just people reacting very negatively to lesbian hcs and ships and it spiraled into something greater…,esfj,@MinionIuvr69 solo gente reaccionando muy negativamente a lesbian hcs y naves y se convirtio en una espiral de algo mayor....
38,@MinionIuvr69 oomfie i do not think you were there when this happened,esfj,@MinionIuvr69 oomfie no creo que estabas allí cuando esto sucedió
39,every day it is me vs my hate for non lesbians and today the hatred may be winning,esfj,todos los días soy yo contra mi odio a las no lesbianas y hoy el odio puede estar ganando
40,remember my name is soooo madoka,esfj,recuerda mi nombre es taaaan madoka
41,they’re calling for tornados where i live i wonder if we’ll have school tomorrow,esfj,"Están anunciando tornados donde vivo, me pregunto si tendremos escuela mañana."
42,@pissprofessor HELP,esfj,@pissprofessor AYUDA
43,@honeypaimon @emper1on i think so yeah?? i joined late february 2021,esfj,@honeypaimon @emper1on creo que sí?? me uní a finales de febrero 2021
44,ok enough about this topic i’m done now,esfj,ok suficiente sobre este tema ya he terminado ahora
45,@honeypaimon there’s been how many ???,esfj,@honeypaimon ¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿?????????
46,why am i devolving earlier i talked to my friend about d*nganronpa and now everyone’s gonna end up rewatching se,esfj,por qué estoy involucionando antes hablé con mi amigo sobre d*nganronpa y ahora todo el mundo va a terminar rewatching se
47,@emper1on you and me both,esfj,@emper1on tú y yo
48,@honeypaimon you’re gonna be coming back to tumbleweeds,esfj,@honeypaimon vas a volver a tumbleweeds
49,i’ve had the same layout since JANUARY oh wowww,esfj,he tenido el mismo diseño desde enero oh wowww
50,@honeypaimon you cannot go on like this,esfj,@honeypaimon no puedes seguir así
51,@honeypaimon YUCK,esfj,@honeypaimon YUCK
52,@pissprofessor @honeypaimon lesbophobia if i remember correctly,esfj,@pissprofessor @honeypaimon lesbofobia si no recuerdo mal
53,i just saw 2 setwt tweets in a row please go back to the nursing home guys,esfj,"Acabo de ver 2 tweets setwt en una fila por favor, vuelva a la casa de reposo chicos"
54,@honeypaimon /j,esfj,@honeypaimon /j
55,@honeypaimon it’s been a year since the accident.. you have to move on….. you can’t keep hallucinating us………,esfj,@honeypaimon ya ha pasado un año desde el accidente.. tienes que seguir adelante..... no puedes seguir alucinando con nosotros.........
56,this shouldn’t even have to be a hot take were you guys never taught in elementary school the difference between a…,esfj,esto ni siquiera debería tener que ser una toma caliente eran ustedes nunca enseñó en la escuela primaria la diferencia entre un...
57,@sashabrauqs jesus,esfj,@sashabrauqs jesus
58,@sashabrauqs tsubaki soul eater 🙏,esfj,@sashabrauqs tsubaki soul eater 🙏
59,this is my twilight lets go lesbians,esfj,este es mi crepusculo vamos lesbianas
60,A FAIL TO KISS IS A FAIL TO COPE /ly,esfj,UN FALLO EN BESAR ES UN FALLO EN COPTAR /ly
61,it’s friday the 13th lol,esfj,es viernes 13 lol
62,THEY WHAT,esfj,LO QUE
63,@ieiridose duh omf,esfj,@ieiridose duh omf
64,@honeypaimon thank you it’s good to know god bless!,esfj,¡@honeypaimon gracias es bueno saberlo dios te bendiga!
65,@dazaifan69420 will do anyone who’s close enough to have my insta is going with me,esfj,@dazaifan69420 hará cualquiera que esté lo suficientemente cerca para tener mi insta va conmigo
66,@honeypaimon we can make the move together NEW ERA!!,esfj,@honeypaimon podemos hacer el movimiento juntos ¡¡NUEVO ERA!!
67,@souleaterlvr ofc you’re an og you deserve to know 🙏,esfj,@souleaterlvr ofc eres un og mereces saberlo 🙏
68,@honeypaimon it’s ok meow. we still follow each other on other socials,esfj,@honeypaimon esta bien miau. aun nos seguimos en otras redes sociales
69,@honeypaimon WHO ELSE IS WHAT,esfj,@honeypaimon QUIÉN ES QUÉ
70,heyy i’m not sure if i’m gonna do this yet but i may move accs or delete twt bc i don’t like this one anymore LOL,esfj,"heyy no estoy seguro de si voy a hacer esto todavía, pero puedo mover accs o eliminar twt bc no me gusta este uno más LOL"
71,@tsulizs HAPPY BIRTHDAY !!,esfj,@tsulizs ¡¡¡FELIZ CUMPLEAÑOS!!!
72,@ieiridose PERFECTION,esfj,@ieiridose PERFECCIÓN
73,i can’t believe i was into rpdr for so long because now every time i look at rupaul i burst out laughing,esfj,no me puedo creer que me gustara tanto el rpdr porque ahora cada vez que veo a rupaul me parto de risa
74,@elra4Iifer YAHH,esfj,@elra4Iifer YAHH
75,that even if she did end up with kyosuke in a different timeline she would still be (maybe even more) miserable,esfj,que incluso si ella terminó con kyosuke en una línea de tiempo diferente que todavía sería (tal vez aún más) miserable
76,@elra4Iifer i agree!,esfj,@elra4Iifer ¡Estoy de acuerdo!
77,@elra4Iifer *POPULARIZED,esfj,@elra4Iifer *POPULARIZADO
78,there needs to be more sapphic hoe songs,esfj,tiene que haber más canciones de zorras sáficas
79,i wanna date someone masc but i also wanna be masc it’s rough out here,esfj,quiero salir con alguien masc pero tambien quiero ser masc es duro aqui afuera
80,HAPPY BIRTHDAY KYOKO SAKURA!!!!!!!,esfj,¡¡¡¡¡¡¡FELIZ CUMPLEAÑOS KYOKO SAKURA!!!!!!!
81,@gaydinosticker i’m posting your address,esfj,@gaydinosticker estoy publicando tu dirección
82,my twelve year old sister bought this how is she real,esfj,mi hermana de doce años compró esto ¿cómo es real
83,@honeypaimon ofc i’m very proud of you!!,esfj,@honeypaimon ofc ¡¡estoy muy orgulloso de ti!!
84,@honeypaimon slay!,esfj,¡@honeypaimon slay!
85,me and that’s why i watch playthroughs,esfj,yo y por eso veo playthroughs
86,those “nooo little german boy” memes are literally just momiji,esfj,"esos memes de ""nooo niñito aleman"" son literalmente solo momiji"
