,text,translation,sentiment,label
0,THATS SO FUCKEJFOFNF,ESO ES TAN FUCKEJFOFNF,0.0324847155227061,esfj
1,this man did not just call clementine a carpet muncher 😭😭😭,este hombre no acaba de llamar a clementina come alfombras 😭😭😭.,0.0045871933598689,esfj
2,@glazeinthelight do YOU,@glazeinthelight do YOU,0.4978922592055748,esfj
3,we live in a society,vivimos en una sociedad,0.6489741730250802,esfj
4,@yukuzai it’s crazy i got into it when s1 came out and now i’m finishing the series 10 years later,@yukuzai es una locura me metí en ella cuando salió la s1 y ahora estoy terminando la serie 10 años después,2.879805397393127e-05,esfj
5,sorry i’ve been gone twdg has had me in a headlock for the past 2 weeks,lo siento he estado fuera twdg me ha tenido en un bloqueo de la cabeza durante las últimas 2 semanas,1.9368776603116346e-07,esfj
6,goddamn 😭,maldita sea 😭,0.4676435506819751,esfj
7,why didn’t you stop me and geyser,por qué no me detuviste y géiser,0.0014342975014802,esfj
8,covid got my ass,covid tiene mi culo,0.4181351527995465,esfj
9,finally starting jojos,por fin empezando jojos,0.4333571928708378,esfj
10,@yukuzai my go to no matter what game,@yukuzai mi ir a no importa qué juego,0.0010512607473688,esfj
11,berleezy making it funny as per usual,berleezy haciendolo gracioso como siempre,0.7896308023335322,esfj
12,watching a playthrough of twdg this game was my childhood,viendo un playthrough de twdg este juego fue mi infancia,0.1471772746194046,esfj
13,kunikida..,kunikida ..,0.4978922592055748,esfj
14,@rainbowserve WHY DID YOY REMIND ME OF THAY,@rainbowserve POR QUÉ YOY ME RECORDÓ A THAY,0.0125564925184279,esfj
15,@gaydinosticker be normal,@gaydinosticker sé normal,0.0105288860543539,esfj
16,@rainbowserve good answer,@rainbowserve buena respuesta,0.1854390656943167,esfj
17,should i go to canada with my mom this weekend,¿debería ir a canadá con mi madre este fin de semana?,0.315942841974399,esfj
18,oh this one was just gay what the hell sayaka,oh este era simplemente gay lo que el infierno sayaka,0.0952267895223705,esfj
19,god,dios,0.1902468900431735,esfj
20,@gaydinosticker happy. birthday. i miss you meow,@gaydinosticker feliz. cumpleaños. te echo de menos miau,0.3287281884608402,esfj
21,@yukuzai never in my life i know i’m better than that,@yukuzai nunca en mi vida se que soy mejor que eso,1.1135829108734118e-05,esfj
22,finally got around to reading the seven husbands of evelyn hugo,por fin he podido leer los siete maridos de evelyn hugo,0.0507764071220461,esfj
23,@elra4Iifer Sorry,@elra4Iifer Lo siento,0.0072985867421744,esfj
24,happy world goth day,feliz día mundial del gótico,0.9489911927226464,esfj
25,applying to chilis for a job..,solicitando trabajo a chilis..,0.4870602823424338,esfj
26,@kingfritzhater one of my favs you should listen,@kingfritzhater uno de mis favs usted debe escuchar,0.0397246451373186,esfj
27,i miss when tr was at its peak,echo de menos cuando tr estaba en su apogeo,0.016169587408191,esfj
28,give me romance book recs please,dame recs de libros romanticos por favor,0.0049750565833124,esfj
29,@DocTheChaosKing she’s so adorable wtf 😭😭😭😭,@DocTheChaosKing ella es tan adorable wtf 😭😭😭😭,0.0668634639930797,esfj
30,i don’t know who this is we’re married though,"No sé quién es, pero estamos casados.",0.0039443737799979,esfj
31,got my hair cut and dyed and one of the first things i was told was that i look like a maki and nobara mix 💀,me he cortado y teñido el pelo y una de las primeras cosas que me han dicho es que parezco una mezcla de maki y nobara 💀,2.7430855477752056e-05,esfj
32,absolutely loveeee when cosplayers with 10x my following take heavy inspo from my vids and give no credit,Me encanta cuando cosplayers con 10 veces más seguidores que yo se inspiran en mis vídeos y no me dan crédito.,1.4497745861559832e-05,esfj
33,@chishiyacult cannot escape our past,@chishiyacult no podemos escapar de nuestro pasado,0.0112359107042907,esfj
34,@honeypaimon @MinionIuvr69 honestly yeah people even told me i started it 🤔,@honeypaimon @MinionIuvr69 honestamente sí la gente incluso me dijo que yo empecé 🤔,3.7740942109062455e-08,esfj
35,@MinionIuvr69 not to sound pretentious but how was i able to revive actwt,@MinionIuvr69 no quiero sonar pretencioso pero como pude revivir actwt,0.0307140613399536,esfj
36,@chishiyacult point proven 😭,@chishiyacult punto probado 😭,0.197001532406398,esfj
37,@MinionIuvr69 just people reacting very negatively to lesbian hcs and ships and it spiraled into something greater…,@MinionIuvr69 solo gente reaccionando muy negativamente a lesbian hcs y naves y se convirtio en una espiral de algo mayor....,0.1819675300469571,esfj
38,@MinionIuvr69 oomfie i do not think you were there when this happened,@MinionIuvr69 oomfie no creo que estabas allí cuando esto sucedió,0.0002492955260996,esfj
39,every day it is me vs my hate for non lesbians and today the hatred may be winning,todos los días soy yo contra mi odio a las no lesbianas y hoy el odio puede estar ganando,0.0008758675636548,esfj
40,remember my name is soooo madoka,recuerda mi nombre es taaaan madoka,0.212329344224535,esfj
41,they’re calling for tornados where i live i wonder if we’ll have school tomorrow,"Están anunciando tornados donde vivo, me pregunto si tendremos escuela mañana.",0.0959767936590756,esfj
42,@pissprofessor HELP,@pissprofessor AYUDA,0.4047214283799102,esfj
43,@honeypaimon @emper1on i think so yeah?? i joined late february 2021,@honeypaimon @emper1on creo que sí?? me uní a finales de febrero 2021,0.0550024932697982,esfj
44,ok enough about this topic i’m done now,ok suficiente sobre este tema ya he terminado ahora,0.0030448274646871,esfj
45,@honeypaimon there’s been how many ???,@honeypaimon ¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿?????????,0.4978922592055748,esfj
46,why am i devolving earlier i talked to my friend about d*nganronpa and now everyone’s gonna end up rewatching se,por qué estoy involucionando antes hablé con mi amigo sobre d*nganronpa y ahora todo el mundo va a terminar rewatching se,7.409708948305703e-06,esfj
47,@emper1on you and me both,@emper1on tú y yo,0.2470532359435458,esfj
48,@honeypaimon you’re gonna be coming back to tumbleweeds,@honeypaimon vas a volver a tumbleweeds,0.4698137065271977,esfj
49,i’ve had the same layout since JANUARY oh wowww,he tenido el mismo diseño desde enero oh wowww,0.145644818509361,esfj
50,@honeypaimon you cannot go on like this,@honeypaimon no puedes seguir así,0.0846071500187024,esfj
51,@honeypaimon YUCK,@honeypaimon YUCK,0.4978922592055748,esfj
52,@pissprofessor @honeypaimon lesbophobia if i remember correctly,@pissprofessor @honeypaimon lesbofobia si no recuerdo mal,0.0013790064143101,esfj
53,i just saw 2 setwt tweets in a row please go back to the nursing home guys,"Acabo de ver 2 tweets setwt en una fila por favor, vuelva a la casa de reposo chicos",0.0108807193703412,esfj
54,@honeypaimon /j,@honeypaimon /j,0.4978922592055748,esfj
55,@honeypaimon it’s been a year since the accident.. you have to move on….. you can’t keep hallucinating us………,@honeypaimon ya ha pasado un año desde el accidente.. tienes que seguir adelante..... no puedes seguir alucinando con nosotros.........,0.0013102701182822,esfj
56,this shouldn’t even have to be a hot take were you guys never taught in elementary school the difference between a…,esto ni siquiera debería tener que ser una toma caliente eran ustedes nunca enseñó en la escuela primaria la diferencia entre un...,9.293457060383714e-09,esfj
57,@sashabrauqs jesus,@sashabrauqs jesus,0.4978922592055748,esfj
58,@sashabrauqs tsubaki soul eater 🙏,@sashabrauqs tsubaki soul eater 🙏,0.4978922592055748,esfj
59,this is my twilight lets go lesbians,este es mi crepusculo vamos lesbianas,0.1987541856201261,esfj
60,A FAIL TO KISS IS A FAIL TO COPE /ly,UN FALLO EN BESAR ES UN FALLO EN COPTAR /ly,0.5467296523866197,esfj
61,it’s friday the 13th lol,es viernes 13 lol,0.3856994740745268,esfj
62,THEY WHAT,LO QUE,0.1311403235633431,esfj
63,@ieiridose duh omf,@ieiridose duh omf,0.4978922592055748,esfj
64,@honeypaimon thank you it’s good to know god bless!,¡@honeypaimon gracias es bueno saberlo dios te bendiga!,0.1659909033866208,esfj
65,@dazaifan69420 will do anyone who’s close enough to have my insta is going with me,@dazaifan69420 hará cualquiera que esté lo suficientemente cerca para tener mi insta va conmigo,0.3833913083797729,esfj
66,@honeypaimon we can make the move together NEW ERA!!,@honeypaimon podemos hacer el movimiento juntos ¡¡NUEVO ERA!!,0.5255570302688034,esfj
67,@souleaterlvr ofc you’re an og you deserve to know 🙏,@souleaterlvr ofc eres un og mereces saberlo 🙏,0.2558898783859035,esfj
68,@honeypaimon it’s ok meow. we still follow each other on other socials,@honeypaimon esta bien miau. aun nos seguimos en otras redes sociales,0.0810015136520835,esfj
69,@honeypaimon WHO ELSE IS WHAT,@honeypaimon QUIÉN ES QUÉ,0.2942382983542949,esfj
70,heyy i’m not sure if i’m gonna do this yet but i may move accs or delete twt bc i don’t like this one anymore LOL,"heyy no estoy seguro de si voy a hacer esto todavía, pero puedo mover accs o eliminar twt bc no me gusta este uno más LOL",1.2498341458258012e-06,esfj
71,@tsulizs HAPPY BIRTHDAY !!,@tsulizs ¡¡¡FELIZ CUMPLEAÑOS!!!,0.7533577083009854,esfj
72,@ieiridose PERFECTION,@ieiridose PERFECCIÓN,0.4978922592055748,esfj
73,i can’t believe i was into rpdr for so long because now every time i look at rupaul i burst out laughing,no me puedo creer que me gustara tanto el rpdr porque ahora cada vez que veo a rupaul me parto de risa,4.344345889779822e-05,esfj
74,@elra4Iifer YAHH,@elra4Iifer YAHH,0.4978922592055748,esfj
75,that even if she did end up with kyosuke in a different timeline she would still be (maybe even more) miserable,que incluso si ella terminó con kyosuke en una línea de tiempo diferente que todavía sería (tal vez aún más) miserable,3.734465266754952e-05,esfj
76,@elra4Iifer i agree!,@elra4Iifer ¡Estoy de acuerdo!,0.0769752538091003,esfj
77,@elra4Iifer *POPULARIZED,@elra4Iifer *POPULARIZADO,0.4978922592055748,esfj
78,there needs to be more sapphic hoe songs,tiene que haber más canciones de zorras sáficas,0.0504295317076644,esfj
79,i wanna date someone masc but i also wanna be masc it’s rough out here,quiero salir con alguien masc pero tambien quiero ser masc es duro aqui afuera,0.0025968516230827,esfj
80,HAPPY BIRTHDAY KYOKO SAKURA!!!!!!!,¡¡¡¡¡¡¡FELIZ CUMPLEAÑOS KYOKO SAKURA!!!!!!!,0.7533577083009854,esfj
