,text,label,translation
0,@Corrina_L525 @RepDanCrenshaw @TexasGOP @GOP What happened?,estj,@Corrina_L525 @RepDanCrenshaw @TexasGOP @GOP ¿Qué pasó?
1,Bless this man.,estj,Bendice a este hombre.
2,Agree,estj,De acuerdo
3,You all tried to OVERTHROW the government,estj,Todos intentasteis DERROCAR al gobierno
4,First sunset.  Majestic.,estj,Primera puesta de sol.  Majestuosa.
5,@trashquez Hi Celeste.  My daughter is trying to break through on the marketing end of this so if you need someone. Lmk,estj,@trashquez Hola Celeste.  Mi hija está tratando de abrirse paso en la parte de marketing así que si necesitas a alguien. Lmk
6,@WendyCerne Yep,estj,@WendyCerne Sí
7,Yep,estj,Sí
8,This seems weird.  You told ti tweet it Jim?,estj,Esto parece raro.  ¿Le dijiste a Jim que lo tuiteara?
9,@sewimperfect Thank you Elle,estj,@sewimperfect Gracias Elle
10,@melinda_wvu Thank you friend.  I will soak up every minute.  My kids are young adults and on their way and I am so…,estj,@melinda_wvu Gracias amiga.  Me empaparé de cada minuto.  Mis hijos son adultos jóvenes y en su camino y estoy tan...
11,@kmk1072 I never said it for decades but since 2016 a lot,estj,@kmk1072 nunca lo dije durante décadas pero desde 2016 mucho
12,@CaseyHannan Thank you Casey :),estj,@CaseyHannan Gracias Casey :)
13,Also my adult kids are going too and they are upstairs laughing right now and my heart is full for the first time i…,estj,También van mis hijos adultos y ahora mismo están arriba riéndose y mi corazón está lleno por primera vez que...
14,Tomorrow I go on vacation for the first time since 2015.  I feel so grateful.,estj,Mañana me voy de vacaciones por primera vez desde 2015.  Me siento muy agradecida.
15,They are the dregs of society and they got put into power.  It’s disgusting.,estj,Son la escoria de la sociedad y los han puesto en el poder.  Es repugnante.
16,@janeite1900 @MichaelSteele I actually think his consideration was a bit of both,estj,@janeite1900 @MichaelSteele En realidad creo que su consideración fue un poco de las dos cosas
17,Wouldn’t you?,estj,¿Tú no lo harías?
18,@SherriGlezman Aw I love how supportive you are.  Great mom,estj,@SherriGlezman Aw me encanta lo solidaria que eres.  Gran mamá
19,Real America CARES,estj,Real America CARES
20,How is that an issue Biden isn’t handling? People are trying to come and DHS is apprehending them.  Seems to be wor…,estj,¿Cómo es que Biden no se está ocupando de eso? La gente intenta venir y el DHS los detiene.  Parece que...
21,@sxsdale2 Oh shoot.  Ok -ack deleting this,estj,@sxsdale2 Oh disparar.  Ok -ack borrar esto
22,Amen,estj,Amén
23,Just no.,estj,Simplemente no.
24,@davidoyoung Eh,estj,@davidoyoung Eh
25,Thread.   It’s really not possible he was a useful idiot.,estj,Hilo.   Realmente no es posible que fuera un idiota útil.
26,@Gotwat31 @JupiterDi1112 Yes,estj,@Gotwat31 @JupiterDi1112 Sí
27,@JupiterDi1112 I would like us to pay big money to local farmers and to distribute it,estj,@JupiterDi1112 Me gustaría que pagáramos mucho dinero a los agricultores locales y que lo distribuyéramos
28,Because that’s Pete.,estj,Porque ese es Pete.
29,@JupiterDi1112 It’s because of the subsidies that health food can’t be in reach.,estj,@JupiterDi1112 Es por las subvenciones que la comida sana no puede estar al alcance.
30,@JupiterDi1112 The answer is so simple but so hard to achieve in this climate.,estj,@JupiterDi1112 La respuesta es tan sencilla pero tan difícil de conseguir en este clima.
31,@davidoyoung She is a rock star for sure,estj,@davidoyoung Ella es una estrella de rock con seguridad
32,Subsidation of corn and wheat.  Poverty.  Lack of health options.   Sugar,estj,Subvención del maíz y el trigo.  Pobreza.  Falta de opciones sanitarias.   Azúcar
33,Yes I knew it.  Who was senator that led the charge?,estj,"Sí, lo sabía.  ¿Quién fue el senador que lideró la carga?"
34,@vijamsonic Idk,estj,@vijamsonic Idk
35,Oh that’s not how it actually works but ok.,estj,"No es así como funciona en realidad, pero vale."
36,Is he married? I can’t even find that.,estj,¿Está casado? Ni siquiera puedo encontrar eso.
37,Yes this.,estj,"Sí, esto."
38,@Megawatts55 Yes he did.  I think it’s a lot.,estj,@Megawatts55 Sí lo hizo.  Creo que es mucho.
39,Not sure this can be overstated.  ALL THREE BRANCHES WERE INVOLVED,estj,No estoy seguro de que esto pueda exagerarse.  LAS TRES RAMAS ESTABAN INVOLUCRADAS
40,@porto1958 So ok my brother is a very very long term staffer of a senator.  1/ it’s a big deal to take people throu…,estj,@porto1958 Así que ok mi hermano es un empleado muy muy largo plazo de un senador.  1/ es una gran cosa para llevar a la gente throu...
41,Honey.,estj,Miel.
42,@OmariJHardy Also that isn’t a well sourced article so stop people.,estj,@OmariJHardy Además eso no es un artículo con buenas fuentes así que parad gente.
43,@TrpLauren @gallerychapel @MuellerSheWrote It doesn’t.,estj,@TrpLauren @gallerychapel @MuellerSheWrote No es así.
44,Billie Jean King,estj,Billie Jean King
45,This is legal?,estj,¿Esto es legal?
46,I told y’all it wasn’t credible.  Everyone shared it anyway.,estj,Les dije que no era creíble.  Todos lo compartieron de todos modos.
47,What?,estj,¿Cómo?
48,@HeatherBarmore OMG Heather agree.  Good lord.,estj,@HeatherBarmore OMG Heather de acuerdo.  Dios mío.
49,@DaWorldWideWebb @ACCORDINGtoJr @mviser @AnnieLinskey Everywhere?,estj,@DaWorldWideWebb @ACCORDINGtoJr @mviser @AnnieLinskey ¿En todas partes?
50,Pride as in pride and also pride.,estj,Orgullo como en soberbia y también soberbia.
51,True,estj,Verdadero
52,Shake my head.,estj,Sacude la cabeza.
53,Oh FFS.,estj,Oh FFS.
54,Yes and when I was a mom I also did that because my kids fucked up all my scissors,estj,Sí y cuando era mamá también lo hacía porque mis hijos me jodían todas las tijeras
55,And the tunnel.  That’s important.,estj,Y el túnel.  Eso es importante.
56,I’m all for this.  And in 24. No disrespect Joe,estj,Estoy a favor de esto.  Y en 24. Sin faltar al respeto Joe
57,Yes absolutely.  I am totally behind this.,estj,Por supuesto.  Estoy totalmente de acuerdo.
58,Dear @MerriamWebster if you need an image for the word degenerate here ya go.  #yourewelcome,estj,Querida @MerriamWebster si necesitas una imagen para la palabra degenerado aquí tienes.  #yourewelcome
59,@ellemc63 @BrittLCee Honestly every large company in this country has many valuable people in the community.  They…,estj,@ellemc63 @BrittLCee Sinceramente todas las grandes empresas de este país tienen mucha gente valiosa en la comunidad.  Ellos...
60,When you let Louie speak you’ve already lost.,estj,Cuando dejas hablar a Louie ya has perdido.
61,@TheDevilHistory I have been able to just have one in the morning and it seems to be my sweet spot.  A little edge…,estj,@TheDevilHistory Yo he podido tomar solo uno por la mañana y parece que es mi punto dulce.  Un poco borde...
62,@Bluertwo Summer of 69,estj,@Bluertwo Verano del 69
63,@porto1958 @DesideriaMesa Trust,estj,@porto1958 @DesideriaMesa Trust
64,@MamaBadger57 @Angry_Staffer AND as a sister to a staffer pretty high up I can tell ya that if he walked them throu…,estj,@MamaBadger57 @Angry_Staffer Y como una hermana a un miembro del personal bastante alto te puedo decir que si él los caminó a través de...
65,@MamaBadger57 @Angry_Staffer Regardless video is video,estj,@MamaBadger57 @Angry_Staffer Sin importar el video es video
66,@MamaBadger57 @Angry_Staffer That letter is quoted further in the interview and that quote is in there but that mak…,estj,@MamaBadger57 @Angry_Staffer Esa carta se cita más adelante en la entrevista y esa cita está ahí pero eso hace....
67,@MamaBadger57 @Angry_Staffer To me this says joining the tour,estj,@MamaBadger57 @Angry_Staffer Para mí esto dice unirse a la gira
68,Also @Twitter WTF is this man not blue checked?,estj,También @Twitter WTF es este hombre no azul comprobado?
69,I always always appreciate @cornellbelcher,estj,Siempre aprecio @cornellbelcher
70,@MamaBadger57 @Angry_Staffer No they said they didn’t see any unusual tour activity,estj,"@MamaBadger57 @Angry_Staffer No, dijeron que no vieron ninguna actividad turística inusual."
71,Jesus.  I don’t think these people can be reached either.,estj,Jesús.  Tampoco creo que se pueda llegar a estas personas.
72,We used to have Heidi Heitkamp.  Jesus,estj,Antes teníamos a Heidi Heitkamp.  Jesús
73,@KeyserSozeBro1 Yep,estj,@KeyserSozeBro1 Sip
74,Uh they were all his staff so that is his side.,estj,"Eran todos de su equipo, así que esa es su parte."
75,The kids are alright.,estj,Los niños están bien.
76,@LoganR2WH @ZacharyRalph98 How the hell is the gov race even close,estj,@LoganR2WH @ZacharyRalph98 ¿Cómo diablos está la carrera por la gobernación tan cerca?
77,"@AlbertoPartyof6 @brian_blase Well Trumps hate was evident.  The GOP conversion to a anti democratic, white supremi…",estj,"@AlbertoPartyof6 @brian_blase Pues el odio de Trump era evidente.  La conversión GOP a un anti democrático, supremi..."
78,It’s called having values and decency Scott.,estj,Se llama tener valores y decencia Scott.
79,@littledeekay That’s not a credible source.  People please do better.,estj,@littledeekay Esa no es una fuente creíble.  Gente por favor hacedlo mejor.
80,Climate change will alter all of us.,estj,El cambio climático nos alterará a todos.
81,@jd_360 Yes he is so lovable,estj,"@jd_360 Sí, es tan adorable"
82,Pete nails this as always but there is a hint of his anger here that I applaud.  We should be angry,estj,"Pete lo clava como siempre, pero aquí hay una pizca de su enfado que aplaudo.  Deberíamos estar enfadados"
83,Actually I don’t think he is ever wrong.,estj,"En realidad, no creo que se equivoque nunca."
84,People.  The boebert abortion stuff isn’t credible.  I know you like it but it’s not well sourced.  Stop sharing it.,estj,"Gente.  Lo del aborto de Boebert no es creíble.  Sé que te gusta, pero no está bien documentado.  Deja de compartirlo."
85,@jjconnerton That’s not a credible news source.,estj,@jjconnerton Esa no es una fuente de noticias creíble.
86,This should happen.,estj,Esto debería ocurrir.
87,Zach likes handstand push-ups and jazz ladies.  🙄,estj,A Zach le gustan las flexiones de manos y las jazz ladies.  🙄
88,How many of them are living in their parents home? I bet a lot.,estj,¿Cuántos de ellos viven en casa de sus padres? Apuesto a que muchos.
89,Not well because they are also trying to kill our democracy.,estj,"No muy bien, porque también intentan acabar con nuestra democracia."
90,@theliamnissan Not credible news.,estj,@theliamnissan No es una noticia creíble.
91,@MPansio @Perpetual_Now @SenTedCruz Wait.  What?,estj,@MPansio @Perpetual_Now @SenTedCruz Espera.  ¿Qué?
92,Thank you.  Hugely concerning.,estj,Gracias.  Muy preocupante.
93,@toonedin That’s my take,estj,@toonedin Esa es mi opinión
94,@RichardPCondon @ShepherdU I missed you while you were here but hope you had fun!,estj,@RichardPCondon @ShepherdU ¡Os eché de menos mientras estuvisteis aquí pero espero que os lo pasarais bien!
95,@RichardPCondon @ShepherdU Love it! Congrats!,estj,@RichardPCondon @ShepherdU ¡Me encanta! ¡Felicidades!
96,@rjkeats_98 My dad would love that menu,estj,@rjkeats_98 A mi padre le encantaría ese menú
97,@SecretaryPete @NataleeSnider @PeteButtigieg Happy everyone is well :),estj,@SecretaryPete @NataleeSnider @PeteButtigieg Me alegro de que todo el mundo esté bien :)
