,text,translation,sentiment,label
0,@yaaangIN thankuu,@yaaangIN thankuu,0.4978922592055748,isfj
1,i’ll miss my lgbt layout,echaré de menos mi diseño lgbt,0.5806195805249524,isfj
2,new layout do we like it,nuevo diseño nos gusta,0.863171132575327,isfj
3,"thank you for tonight’s episode of chan’s room, bang chan who didn’t write drive!","gracias por el episodio de esta noche de la habitación de chan, ¡bang chan que no escribió drive!",0.0020752021915053,isfj
4,"chan, honey, it’s okay just tell the truth. stays won’t be mad 😊","chan, cariño, esta bien solo di la verdad. se queda no se enojara 😊",0.0004423126604155,isfj
5,CAUSE WE DON’T GIVE A FUCK!,¡PORQUE NOS IMPORTA UNA MIERDA!,0.0323251770213346,isfj
6,@love_stayhyune wtf,@love_stayhyune wtf,0.4978922592055748,isfj
7,"lee know is so fluent in english, he wrote drive. penguins can fly. dogs neigh.",lee know habla inglés con tanta fluidez que escribió drive. los pingüinos pueden volar. los perros relinchan.,0.0591789817150277,isfj
8,@love_stayhyune fuck world king llc,@love_stayhyune fuck world king llc,0.6637927141235064,isfj
9,this song is so good gimme the title,esta canción es tan buena dame el título,0.4355810959388523,isfj
10,@skzwolf_gang fun and funny 😭 i remember this one reply about giving that bald guy haircombs as a gift 😭😭,@skzwolf_gang divertido y gracioso 😭 me acuerdo de esta respuesta sobre regalarle a ese calvo peinetas 😭😭,0.003142837561168,isfj
11,@love_stayhyune what happened,@love_stayhyune lo que pasó,0.0228507194423387,isfj
12,one of my greatest edits,una de mis mejores ediciones,0.3663183598823022,isfj
13,fun times,momentos divertidos,0.4978922592055748,isfj
14,we bullied him.,le intimidamos.,0.1767275598994158,isfj
15,remember when hyunjin’s aotm (motley crew) was privated/removed bcs of that bald guy,recuerdas cuando el aotm de hyunjin (motley crew) fue privado/removido por culpa de ese tipo calvo,0.0028548707686533,isfj
16,and relatable.,y relacionable.,0.4978922592055748,isfj
17,bang chan is so funny,bang chan es tan divertido,0.4960598922225536,isfj
18,streetlight will never not be my favorite comfort song,streetlight will never not be my favorite comfort song,0.4978922592055748,isfj
19,pick (poll below),elija (encuesta a continuación),0.4978922592055748,isfj
20,IS HE REACTING TO HYUNJIN’S PWF,¿ESTÁ REACCIONANDO AL PWF DE HYUNJIN?,0.3711424214608981,isfj
21,@ChanniesSpoon THANK YOU,@ChanniesSpoon GRACIAS,0.5533970533999424,isfj
22,looking for*,buscando*,0.4005592647893244,isfj
23,anyways this is the layout,de todos modos este es el diseño,0.7165060337303852,isfj
24,i was looking headers for my (supposed to be) new layout and i found this. IT MATCHES?? LMFAO,estaba buscando cabeceras para mi (supuestamente) nuevo diseño y encontré esto. ¿COINCIDE? LMFAO,0.3272711104690876,isfj
25,@Hobasirius 💔💔💔💔💔,@Hobasirius 💔💔💔💔💔,0.4978922592055748,isfj
26,hey…i wish you back 😁,hey...te deseo de vuelta 😁,0.2897429119271463,isfj
27,WISH YOU BACK,DESEO QUE VUELVA,0.3306215769515565,isfj
28,seo changbin is so cool,seo changbin es tan guay,0.5565764231939847,isfj
29,@Hobasirius half good half bad,@Hobasirius medio bien medio mal,0.0249642857132115,isfj
30,chan i think i wanna marry you,chan creo que quiero casarme contigo,0.0433891325750936,isfj
31,he. is. so. handsome.,él. es. tan. guapo.,0.0355525125959381,isfj
32,damn HaPpY gives so much memories,maldita sea HaPpY da tantos recuerdos,0.3184754433618285,isfj
33,HAPPY,FELIZ,0.6537474969498027,isfj
34,soon plz 🙏,pronto plz 🙏,0.5948913905704724,isfj
35,icb it’s been a year,icb ha pasado un año,0.1266640980369524,isfj
36,@sorikkun__ yes.,@sorikkun__ sí.,0.3969751019913017,isfj
37,commas don’t exist,las comas no existen,0.2030928185217201,isfj
38,pwede ka bang ligawan,no se preocupe,0.0287422117445135,isfj
39,BANG CHAN. IS EXTRA HOT TONIGHT. ON FATHER’S DAY. WITH CURLY HAIR. AND A TANK TOP. SHOWING HIS MUSCLES. FUCK 😊,BANG CHAN ES EXTRA CALIENTE ESTA NOCHE EN EL DÍA DEL PADRE. CON EL PELO RIZADO Y UNA CAMISETA SIN MANGAS. MOSTRANDO SUS MUSCULOS. JODER 😊,0.0161569704577496,isfj
40,i didn’t greet my own father this is so 💀,no saludé a mi propio padre esto es así 💀,0.0100858351981963,isfj
41,happy father’s day bang chan,feliz día del padre bang chan,0.6248202497117014,isfj
42,@dwaekkisgymbro LMFAOOO,@dwaekkisgymbro LMFAOOO,0.4978922592055748,isfj
43,bang chan curly hair i can’t do this,bang chan pelo rizado no puedo hacer esto,0.023276674601371,isfj
